,text
178,"House Votes to Repeal 2002 #AUMF Used to Justify #Soleimani Assassination
https://t.co/hBReBl9gmn
Also passed is le… https://t.co/zRvf6wQAPn"
179,"Speaking of no legs... guess who is missing his? 
#TrumpRallyIA  #Soleimani https://t.co/LDzXxYu0bC"
180,The fact that the #Soleimani killing occurred when #GCC states were trying to reach out to #Tehran made the US-Iran… https://t.co/DQJcoU0kza
181,"Tim Anderson: Iran has to retaliate for assassination of Gen. Soleimani

#Iran #Soleimani @timand2037

https://t.co/sAMbpsZoYa"
182,#CIA Director Gina #Haspel reportedly pushed for #Soleimani's killing — and perfectly predicted #Iran's response… https://t.co/8fT4Tq80Zz
183,When Iranian Americans were detained after #soleimani @lawyers4goodgov worked with  politicians and advocates to fr… https://t.co/ztcp8wxYvz
184,"Fine piece by @RealScottRitter. However #Iran will never use their worst enemies #AlQaeda as proxies. 

1st. Only F… https://t.co/uZsxNiJ4I2"
185,#Iraq's military said it was resuming operations with the #US-led coalition against #ISIS after a halt following th… https://t.co/EIVkb0mphE
186,"@AndrewLoveUS ""DearPres.#TRUMP You did a great job&amp;it will take years4people to understand how much you love… https://t.co/WEJ3FDl9uv"
187,"US Announces Three New Bases In Iraq After Iraqis Demand Full Withdrawal

The three sites chosen for the news bases… https://t.co/8wAQu26YWk"
188,I guess they knew this day was coming...pre-packaged. Hoe much will the #Soleimani cartoon rake at the box-Office https://t.co/jT70pGm9Ig
189,"""Gobsmacked,"" was the single-word reaction of a former CIA officer who spent a career working against the targeted… https://t.co/BwzQjk8lYb"
190,"This how we should conduct a discussion or a debate. Was terminating #Soleimani a self defence or an escalation? 
W… https://t.co/B2marvnmeU"
191,Iranian &amp; Russian Media Claim CIA Agent Behind #Soleimani's assassination was killed in #Afghanistan. The US is sil… https://t.co/VVl0WrOvqP
192,"#Soleimani 
not the first https://t.co/W9cCQTSG8X"
193,"@SteveScalise @realDonaldTrump Actually he’s working hard:
1-For @IsraeliPM and Israel more.
2-To tell more lies.
3… https://t.co/S57wCNjXS3"
194,"Qassem #Soleimani on role of #IRGC in anti-#ISIS ops in Iraq: ""[we help the Iraqis]...with advice, help, anything.… https://t.co/ZbniC3DlIJ"
195,"AlManar airs footage of Qassem #Soleimani talking RE counter-ISIS ops in #Iraq, in which pro-Iran militias played b… https://t.co/JuSucMs2hQ"
196,"@AnnLinde US group Code Pink collects more than 10,000 signatures for an open letter apologizing to the people of… https://t.co/2wDtb31qyB"
197,"CIA chief ‘behind Soleimani’s assassination’ killed in downed plane in Afghanistan.
#Soleimani https://t.co/UkKgJVtzmO via @MiddleEastMnt"
198,"He can make America self-destruct whilst the world watches. 

This is just the beginning of the eradication of the… https://t.co/RvbdEfI55E"
199,The reason why they had not unveiled the deal of century before the martyrdom of #Soleimani was bc they were afraid… https://t.co/pROYcSumVC
200,"Recommended reading on #Soleimani strike. Nugget: ""In addition to #Soleimani &amp; #Shahlai, #Trump ""also authorized th… https://t.co/jbbzC6nwhs"
201,@NBCNews @NBCNightlyNews Because BiBi #Trumps BFF asked him to kill #Soleimani
202,"@realDonaldTrump How is the casualties of #IranAttacks? Numbers still growing?

#soleimani"
203,"@ZahraHamidia Remember? That was so moving.
I can't even believe that Soleimani is not among us anymore. but I beli… https://t.co/EBgUQ6r1FK"
204,Aftermath: The Iran War After The Soleimani Assassination: https://t.co/RWWWL6jc2f #Iran #IranNuclearDeal #IranWar… https://t.co/HooTuZ3vub
205,@Ostrov_A @RostamS2 We are #soleimani
206,What will the death of #Soleimani mean for #Hezbollah?
207,https://t.co/ovKy6NRKHW publishes a poster hailing Qassem #Soleimani as Jahan Pahlevan (world hero) &amp; most famous c… https://t.co/SbxWwINw5A
208,"#Iran's dictator 
@khamenei_ir weeping at #Soleimani's funeral.
I haven't been so happy in a very long time!… https://t.co/CL1ncupLJE"
209,Numbers of US personnel with #TBI grows.   #Iran #Iraq #Soleimani @barbarastarrcnn https://t.co/CFpQD0DYEY
210,"@realDonaldTrump ""DearPres.#TRUMP You did a great job&amp;it will take years4people to understand how much you love… https://t.co/6Ttotid7xw"
211,"@realDonaldTrump ""DearPres.#TRUMP You did a great job&amp;it will take years4people to understand how much you love… https://t.co/5kcjDCDiGv"
212,"Someone tell @SpeakerPelosi to go back to Iran where her husband #soleimani was taken out, her daughter is ugly and… https://t.co/5qIN1359ZM"
