,text
162,@realDonaldTrump last night you called the #coronavirus a ‘#Democratic #hoax.’ 5 people have died just in Wash. sta… https://t.co/ysaDtAoaMf
163,INFECTION CONTROL!!! #coronavirus #cdc @CDCemergency @CDCgov
164,Testing for the #coronavirus should be free. Treating the #coronavirus should be free. There should be no financial… https://t.co/lg9Az8igsN
165,"So... I guess the portly orange one is about to tell us more about the #covid19 ""hoax"". Great.
#COVID19US #Coronavid19 #coronavirus"
166,Spoke to Dr Cillian De Gascun - chair of the HSE’s #Coronavirus Expert Advisory Group - for the first batch of our… https://t.co/BbwUoDHhw4
167,#Washington State we must not cause unnecessary stress on our nation— was the persons death due to the flu or… https://t.co/1YvpEQ7XWA
168,"Breaking News: 1st Person to die from #coronavirus in the United States is in Washington State

SOMEONE HAS DIED NO… https://t.co/LCl6qYXyTs"
169,"First #coronavirus death in USA, and several cases of community spread (people becoming sick with #COVID19 but how… https://t.co/gf9B6N0Lbg"
170,@realDonaldTrump Donald Trump is affraid of the coronavirus. It's obvious Mike pence is not happy with his new job… https://t.co/aGmCoWsMYM
171,The 38% of America who won’t drink Corona beer in fear of #coronavirus also helps explain the amount people who ret… https://t.co/ca6Crw7DeS
172,@selectedwisdom His germophobia must have him scared sleepless over the #Coronavid19 #Coronavirus
173,⁦@realDonaldTrump⁩ is it still a hoax or are you just an egomaniac and everything must be about you? #coronavirus k… https://t.co/YI3p7f4DWL
174,Did anyone ever consider that someone in China ate a dog that was infected with the Canine #Coronavirus and that mu… https://t.co/jVkv6KH7EL
175,"Trump has done 2 more press conferences the @PressSec

Think about that for a minute! 

Mind you they are like a sh… https://t.co/znduMYZSc2"
176,Ministry of #Health announces 3 new #Coronavirus cases | https://t.co/eIcCICmmIr | #Lebanon [REPORT]
177,"#coronavirus

Person dies from coronavirus in Washington state, first in the US, health officials say | Fox News https://t.co/ZQ0HfnASmI"
178,First death from #coronavirus #washingtonstate #trump says #democrat #hoax
179,United States reports 4th unrelated coronavirus case in the West Coast. #UnitedStates #Coronavirus  #CoronavirusUS… https://t.co/LtzJJnaUg7
180,Smart daily actions to start or improve #Coronavirus: How behaviour can help control the spread of COVID-19… https://t.co/1iuJ02WIZw
181,So yesterday @realDonaldTrump under played #coronavirus in the #USA and accused the #democrats of alarming the nati… https://t.co/wzWEnfwc1d
182,@NFe065 @DSRAC1234 @DrEricDing @KoreaCDC The #coronavirus statistics posted by #JohnsHopkins is the original source… https://t.co/9sPYfQOFRU
183,"@thehill Trump’s right, never before has a President confronted with a possible pandemic in which he categorically… https://t.co/hXyv9WY5DL"
184,It appears the first #coronavirus death in #Washington state is a brand new case. Will be interesting to hear about… https://t.co/nZl34dGBFM
185,"Every time I read a warning about not touching your face to avoid getting #coronavirus, I am actually touching my face."
186,"Calling All Hypochondriacs! Take some Vitamin C and Xanax...you will be fine 🙂

Coronavirus patient says disease 'n… https://t.co/7fosy6a9Nv"
