,text
181,"Polish politicians have declared LGBT+ people ""enemies of the state."" Pride marches are being attacked. Show your s… https://t.co/iGLbn720jG"
182,"For the first time, you can respond to the census online. Responding by mail will still be an option. Get more info… https://t.co/E14E3H0hCC"
183,"On February 29, 1940, Hattie McDaniel became the first Black actress to win an Oscar for her portrayal of Mammy in… https://t.co/gZbfBgdXkD"
184,"🙌We're over halfway funded! 🙌

How quickly can we reach our initial funding and set our sights on those stretch goa… https://t.co/8I3y917cxX"
185,Eighth and last in the series #vision2020 - an #artshow curated by #317artcollective showing what I want to see in… https://t.co/l748OLgOSN
186,"“It was #ISNA’s founder,who said LAST YEAR: “And you know, brothers and sisters, you know what the punishment is, i… https://t.co/G2V0QV9eNt"
187,Only 7821 hours (or less?) until the end of President Trump's first term! #LGBT #TreasonSummit #TrumpCountdown
188,Seventh in the series #vision2020 - an #artshow curated by #317artcollective showing what I want to see in the year… https://t.co/XU5CKfCWhn
189,Sixth in the series #vision2020 - an #artshow curated by #317artcollective showing what I want to see in the year 2… https://t.co/DX9B5kVvdS
190,Fifth in the series #vision2020 - an #artshow curated by #317artcollective showing what I want to see in the year 2… https://t.co/HMF1bN6qwa
191,"Inherent Beauty
Unformed structure
hidden in the virtual shadows
of words...
#poetry #poemaday2020 #freeverse #lgbt… https://t.co/Y25jmc3wfK"
192,"If you want to testify please sign up here: https://t.co/St2C9p4l6F
If you're like me and have prior commitments yo… https://t.co/SilqFLrZlP"
193,"Genetically modified by Dr. Aaron Thomas, they became the most successful SEAL Team the US Government ever had at i… https://t.co/4YBVrTuWd8"
194,"""I was denied #healthcare because I am transgender. The justification, according to the hospital, was that religiou… https://t.co/K7NVHii87S"
195,"#Repost @pink_news
・・・
A leap day only happens once every four years so enjoy your extra day of being gay! Tag your… https://t.co/XLMdttoGzw"
196,#EVENT: @RPlaceSeattle Presents MARCH DRAGNESS featuring @RockMSakura; #DragRace #TIX #Seattle #LGBT  —… https://t.co/A7mlnNxS0F
197,"#BLURB: ""Aquaria (@AquariaOfficial) Serving “The Fifth Element” Realness; #DragRace #Winner #LGBT #Fashion"" —… https://t.co/J5FkUIA5ee"
