,text
132,"Pre-#Coronavirus/#Covid19
#CoronaVirusUpdates #ChinaVirus #ChinaCoronaVirus  #WuhanVirus #WuhanOutbreak #Kobe19 #BillGatesVirus #BillGates #XiJinping #XijinpingVirus
Event 201 Pandemic Exercise: Segment 1, Intro and Medical Countermeasures (MCM) Discussion
https://t.co/13TJsYTJRx"
133,"A friend of mine just shared a screenshot of a text conversation she just had with a Bernie-supporting friend of hers. The friend said, ""I think [#coronavirus] is just a ploy for the election. They have already developed a cure for it."" 

It is a full-blown personality cult now."
134,Something’s truly wrong in Vatican City. #vaticancity #coronavirus #coronapocolypse #COVIDー19 https://t.co/IUQWh3q6xK
135,Pretty much the battle for everyone I know now #CoronaVirus #SpringAllergies #SeasonalFlu #SocialDistancingNow #SocialDistancing #SocialDistance https://t.co/aKsxV6Dh2Y
136,"Yes. That's why #Trump, his administration, #FoxNews &amp; far right #media continue to say the things they say. 🤷🏻‍♀️

#JustSaying 😏

#RejectTrumpism
#coronavirus https://t.co/kWQT8kZ613"
137,"Bernie was just asked a question on China’s involvement with the spread of the #coronavirus...

Aaaaaand of course he instead attempts to take a jab at @realDonaldTrump and his administration’s work in stifling this virus."
138,"Loudoun County is modifying its announcement on Saturday, March 14, by closing its three Adult Day Centers due to COVID-19 until further notice. The action impacts approximately 55 families, according to @LoudounCoGovt | #coronavirus https://t.co/CXbW4LEswo"
139,"@jessicacitifm And we are the people who pray alot disturbing God everyday.Weve got no love, sympathy or empathy.Fake love everywhere.Where will they keep all these monies they are infected and killed by this #coronavirus? Smh@jessicacitifm."
140,@Metro_PR @donqrum  Thank You so much for leading &amp; helping. Noticia Compartida en todos los grupos Boricuas en Facebook. #coronavirus #PuertoRico https://t.co/thgzlnjPQ9
141,Biden wants to call WAR on the Coronavirus and keep people who contact it in ARMY TENTS! HO-LEEEE SHIT. We’re in Crazyville USA. #Joementia #NeverBiden #coronavirus #M4All
142,"Oh NOOOOWWWW you all wanna hop on the social distancing bandwagon. Yeah, ight. 

I ain’t new to this I’m true to this. 

#coronavirus"
143,@CNN get Biden some hand sanitizer. He coughed in his hand and moving that blue pen back and forth. Sanitize that pen too. #coronavirus
144,"#DemDebate #DemocratDebate #GenX #Biden #Bernie 
#californiacoronavirus #coronapocolypse #COVIDー19 

Is this the best you have???   OMG.  
#Liberals know this is not going well.  #CNN #FAKENEWS only asking about #coronavirus related topics.  
What about MFA?
What about Ukraine? https://t.co/qpKVfPGg1L"
145,Impressed that Bernie mentioned prisons and the homeless as important people to not forget in the #Coronavirus crisis.  No votes in those constituencies. #DemocraticDebate
146,"@BernieSanders Under #BernieSanders #MedicareForAll, America will have FEWER doctors... FEWER nurses... and LESS available health care and #HealthCare options... It would be a disaster for PATIENTS.  And many more people would die.  #CoronaVirusOutbreak #coronapocolypse #coronavirus #DemDebate"
147,There truly is a bigger picture than people think with the #COVIDー19 #coronavirus
148,"This isn't a #DemDebate. This is @JoeBiden, @jaketapper, @DanaBashCNN, and @CNN aligning to malign @BernieSanders.
#Bernie2020 #NotMeUs #FeelTheBern #BidenIsCorrupt #MedicareForAll #COVID19 #coronavirus"
