,text
116,@_Aterrad2 @UrsulaRooth This could bring down #Trump and #Boris and #BolsonaroInfectado
117,"#Trump: “No. Not at all. And we have it totally under control. It’s one person coming in from China, and we have it under control. It’s going to be just fine.” https://t.co/whNWcp8elZ"
118,#Trump makes one bad decision after another. Nobody stops or challenges him. What has happened to our country. Do we fear this #imposterPresident. https://t.co/ovSTUX3vWi
119,"Oups another #freakout! #trump #fail realDonaldTrump: I must say, that was a VERY boring debate. Biden lied when he said I want to cut Social Security and Medicare. That’s what they ALL said 4 years ago, and nothing happened, in fact, I saved Social Security and Medicare. I …"
120,"@AOC Wait... wasn't it you, @AOC, who told us we only have 12 years left?

So... how can there be future generations, after yours, left to contend with all the evil, left by your miscreant elders?

#CNNDebate #MAGA #Trump #USA"
121,"@JoyAnnReid but you care everything about #Trump well before he was #President. These two old farts, are not FIT for the job.

#Trump2020NowMoreThanEver 
#QuarantineTheMedia"
122,This nigga #Trump is blaming #Obama for not being able to get #Coronavirus test kits. 😂😂😂😂😂😂😂😂😂 I still can’t believe people voted for this. 🤦🏽‍♂️
123,@MeghanMcCain She means the elderly that listen to #tRUMP &amp;faux news.
124,In a similar move to the financial crisis the Federal Reserve has done the unthinkable - QE to the tune of $700 billion. This is the end of all financial measures with rates at NIL. Financials will be crushed during this round of enriching the billionaires. #trump #mnuchin #mkt
125,"@yashar WOW‼️ #tRUmp not only bankrupt his own casino, he's taking them all down with him❗️ Ignoring early warning indicators on  #CoronaVirusOutbreak, he's going to take us ALL down with him. #ScorchedEarthPolicy...it's what all deposed despots do. 

#Trumpdemic #CoronavirusPandemic 
😷"
126,No way should anyone think of #CancelBernie because to #CancelBiden is how to beat #Trump .#BernieBeatsTrump #LyinBiden #DemocraticDebate #DemDebate2020 #Bernie2020 https://t.co/K3zd2nSxJ6
127,"@realDonaldTrump Congratulations on four more years Trump. DNC fuckwits couldn't organise a raffle; only good at backstabbing and lying to bring down Bernie. Make sure you tell those fuckwits Bernie would have been a bigger threat to you, again. #Biden #BernieSanders2020 #Trump"
128,"@vector1928 @morgep65 @noangelforme @Amy_Siskind @MicheleDiane8 @realDonaldTrump In this thread, narcissism is meant in the clinical sense. Look up Narcissistic Personality Disorder in the Diagnostic and Statistical Manual (DSM-5) which psychiatrists, psychologists &amp; clinical social workers use to diagnose mental illness. CONTINUED #Trump #Narcissist"
129,@bfraser747 @EricTrump #trump will debate @JoeBiden on the same day he releases his tax return.
130,Imagine an America lurching into the #GreatDepression being led by #Trump instead of #FDR.....
131,the future without #trump anyone but #trump = https://t.co/KFmkkjIKaI  @realDonaldTrump @DonaldJTrumpJr @JoeBiden would be overthrown like Batista in afew.
132,@BetteMidler #Trump 8 weeks‼ https://t.co/8lylaDUBKM
133,"@BrandonBeckham_ @realDonaldTrump #Christians for #Trump is a double #Negative you can’t be #Christian if support a man who #Cheated on his wife , calls people names , #Insults the #Handicap , talks about #GropingWoman , what #Church is this , remind me not to attend #GodBless"
134,@EricTrump You need to start listening to what your dad is saying. #Trump #sad #VoteBlue2020 https://t.co/yGxPxQCIbu
135,@PepperOceanna #Trump supporters would vote for #BernieSanders. #Biden gets none of those votes
136,"@charliekirk11 @realDonaldTrump Look, let’s be honest: The left is all about population control &amp; they really aren’t bothered by these pandemics. They “appear” to be concerned, but their actions are purposely deficient. #Trump’s actions  expose their true motives and they’re pissed. They’re corruption is real."
137,"#BREAKING:@SenatorCollins says #Trump should ""STEP BACK"" from #Coronavirus messaging and leave it to health professionals. Translation? ""Trump, STOP the corona virus LIES!!""

#TheResistance #CNN #MSNBC #FoxNews #Yahoo #Google #SundayThoughts #FBRParty  
https://t.co/vciD8TXrCD"
138,"@Ninerfanlv @thehill .@thehill
I thought #TDS was somewhat like #StockholmSyndrome. #Trump can’t help anyone enough to warrant his presidency."
139,@amyklobuchar the future without #trump anyone but #trump = https://t.co/KFmkkjIKaI
140,"#Trump tells US 'relax, we're doing great' as his #Coronavirus expert says worst is yet to come

https://t.co/VgtMmyG2Vo"
141,"TRENDING⚡️#LyinBiden
🤥#BidenLies
World laughs #JoeMentia🤪IS #BlueTrump
#JoeBidenHasDementia #BidensCognitiveDecline
PICKaCORP🤑PUPPET #JoeBiden💩#Trump
#DemocraticDebate #CancelBiden #DemDebate
#DNCFraudLawsuit #DNCRigging #DNCisCorrupt #DNCVoterSuppression 

#BidenLosesToTrump"
142,"@RepAdamSchiff ""Incompetence kills""

Is that why you haven't ran for president? You're the most incompetent politician in DC, you lie constantly &amp; most of the country sees through politicians like you. 

#Trump will be reelected despite the effort of the dems &amp; the media. 

#Trump2020 #MAGA"
143,"This was from 5 years ago.
#Trump's answer to this was to fire all the pandemic experts from the #CDC.
https://t.co/xZhdhtyKRy
#IdiotInChief #coronavirus"
144,#trump followed by entire #GOP https://t.co/nJZLDfJOig
145,"@GOPChairwoman @shelferd @realDonaldTrump #COVIDー19 is a #bioengineered, #DeepStateCabal #coronapocolypse designed to destroy #Trump and #Patriots by implementing totalitarian, #communist controls.

#Coronavirus started 1 day after #impeachment failed.

#Trump2020 will do #massarrests of #DeepState / #Cabal.

#MAGA2020"
146,@funder #trump needs to be muzzled!
147,@TheRightMelissa @realDonaldTrump #tRump will release his taxes before he debates. 8645
148,"TraitorTrump's week summarized:

#DemDebate #TrumpVirus #Trump https://t.co/bIuAgOWXma"
149,"Donald #Trump continues to handshake despite White House medical advice
#TrumpCrash #Trump2020
https://t.co/lTmuzwL5uB"
150,"Go ahead..

If you listen to this idiot...you deserve to get infected and die

#SheriffClarke
#MAGA
#Trump
#AirportScreenings
#Customs
#CoronaVirus
#StayHome
#TemperatureChecks
#COVID19
#Pandemic
#TrumpIsToBlame
#ResignTrump https://t.co/YxZGlyUCOa"
151,"Well, this explains a lot... #COVIDー19 #COVID19 #coronavirus #CoronavirusOutbreak #TrumpIsTheWORSTPresidentEVER #Trump #JaredsCOVIDTest https://t.co/u5iWRb2dgz"
